Sl. No.,India/State/UT,Projected Population by Age Group - Overall - Age 3-5 - Boys,Projected Population by Age Group - Overall - Age 3-5 - Girls,Projected Population by Age Group - Overall - Age 3-5 - Total,Projected Population by Age Group - Overall - Age 6-10 - Boys,Projected Population by Age Group - Overall - Age 6-10 - Girls,Projected Population by Age Group - Overall - Age 6-10 - Total,Projected Population by Age Group - Overall - Age 11-13 - Boys,Projected Population by Age Group - Overall - Age 11-13 - Girls,Projected Population by Age Group - Overall - Age 11-13 - Total,Projected Population by Age Group - Overall - Age 6-13 - Boys,Projected Population by Age Group - Overall - Age 6-13 - Girls,Projected Population by Age Group - Overall - Age 6-13 - Total,Projected Population by Age Group - Overall - Age 14-15 - Boys,Projected Population by Age Group - Overall - Age 14-15 - Girls,Projected Population by Age Group - Overall - Age 14-15 - Total,Projected Population by Age Group - Overall - Age 16-17 - Boys,Projected Population by Age Group - Overall - Age 16-17 - Girls,Projected Population by Age Group - Overall - Age 16-17 - Total
1,India,38736330,34928104,73664433,61250536,54763342,116013876,36806827,33541399,70348226,98057361,88304740,186362103,24859479,22776689,47636171,25145865,23150059,48295922
2,Andaman and Nicobar Islands,9111,8982,18093,14166,13463,27629,9438,8661,18099,23603,22124,45728,6591,5894,12485,6606,5614,12220
3,Andhra Pradesh,919401,849561,1768962,1862870,1705741,3568611,1134008,1060949,2194957,2996878,2766690,5763568,775995,731433,1507428,798058,756503,1554560
4,Arunachal Pradesh,44130,41520,85650,64376,60985,125362,44163,43001,87163,108539,103986,212525,32460,31517,63977,31627,30880,62507
5,Assam,816835,753831,1570666,1555557,1423041,2978598,969012,914513,1883526,2524569,2337554,4862123,659613,629985,1289598,674745,649299,1324043
6,Bihar,5231361,4712572,9943932,7068335,6400693,13469028,4254483,4003829,8258312,11322818,10404522,21727340,2820196,2660363,5480559,2816032,2669483,5485516
7,Chandigarh,29921,27308,57229,45951,38989,84940,29555,22808,52363,75506,61797,137303,20829,16129,36958,22484,16006,38489
8,Chhattisgarh,1019400,960867,1980267,1426400,1349800,2776200,828600,794400,1623000,2255000,2144200,4399200,550200,530400,1080600,547200,530000,1077200
9,Dadra and Nagar Haveli and Daman and Diu ,21619,20084,41703,29572,26304,55876,17895,15074,32969,47466,41378,88844,11696,9212,20908,13481,8273,21755
10,Delhi,458015,395510,853525,909558,748637,1658195,546726,452360,999085,1456284,1200996,2657280,377468,322423,699892,396687,335682,732369
11,Goa,25009,24000,49009,49627,46928,96555,32636,29665,62301,82263,76593,158856,22330,20110,42440,22290,19983,42273
12,Gujarat,1632468,1409492,3041960,3158456,2656473,5814929,1855343,1584780,3440123,5013799,4241252,9255052,1239424,1067500,2306925,1251403,1084470,2335874
